date,GOOG,AAPL,AMZN,FB,NFLX,MSFT
2018-01-01,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-08,1.02,1.01,1.06,0.96,1.05,1.02
2018-01-15,1.03,1.02,1.05,0.97,1.05,1.02
2018-01-22,1.07,0.98,1.14,1.02,1.31,1.07
2018-01-29,1.01,0.92,1.16,1.02,1.27,1.04
2018-02-05,0.94,0.89,1.09,0.94,1.19,1.0
2018-02-12,0.99,0.99,1.18,0.95,1.33,1.04
2018-02-19,1.02,1.0,1.22,0.98,1.36,1.07
2018-02-26,0.98,1.01,1.22,0.95,1.43,1.06
2018-03-05,1.05,1.03,1.28,0.99,1.58,1.09
2018-03-12,1.03,1.02,1.28,0.99,1.52,1.07
2018-03-19,0.93,0.94,1.22,0.85,1.43,0.99
2018-03-26,0.94,0.96,1.18,0.86,1.41,1.03
2018-04-02,0.91,0.96,1.14,0.84,1.38,1.02
2018-04-09,0.93,1.0,1.16,0.88,1.48,1.06
2018-04-16,0.97,0.95,1.24,0.89,1.56,1.08
2018-04-23,0.93,0.93,1.28,0.93,1.48,1.09
2018-04-30,0.95,1.05,1.29,0.95,1.52,1.08
2018-05-07,1.0,1.08,1.3,1.0,1.55,1.11
2018-05-14,0.97,1.06,1.28,0.98,1.54,1.09
2018-05-21,0.98,1.08,1.31,0.99,1.67,1.12
2018-05-28,1.02,1.09,1.34,1.04,1.71,1.14
2018-06-04,1.02,1.1,1.37,1.01,1.72,1.15
2018-06-11,1.05,1.08,1.4,1.05,1.87,1.14
2018-06-18,1.05,1.06,1.4,1.08,1.96,1.14
2018-06-25,1.01,1.06,1.38,1.04,1.86,1.12
2018-07-02,1.03,1.07,1.39,1.09,1.94,1.15
2018-07-09,1.08,1.09,1.48,1.11,1.88,1.2
2018-07-16,1.08,1.09,1.48,1.12,1.72,1.21
2018-07-23,1.12,1.09,1.48,0.94,1.69,1.22
2018-07-30,1.11,1.19,1.48,0.95,1.63,1.23
2018-08-06,1.12,1.19,1.53,0.96,1.65,1.24
2018-08-13,1.09,1.24,1.53,0.93,1.51,1.22
2018-08-20,1.11,1.24,1.55,0.93,1.71,1.23
2018-08-27,1.11,1.3,1.64,0.94,1.75,1.27
2018-09-03,1.06,1.26,1.59,0.87,1.66,1.23
2018-09-10,1.06,1.28,1.6,0.87,1.74,1.29
2018-09-17,1.06,1.24,1.56,0.87,1.72,1.3
2018-09-24,1.08,1.29,1.63,0.88,1.78,1.3
2018-10-01,1.05,1.28,1.54,0.84,1.67,1.27
2018-10-08,1.01,1.27,1.46,0.82,1.62,1.24
2018-10-15,0.99,1.25,1.44,0.82,1.58,1.23
2018-10-22,0.97,1.24,1.34,0.78,1.43,1.21
2018-10-29,0.96,1.19,1.36,0.8,1.47,1.2
2018-11-05,0.97,1.17,1.39,0.78,1.45,1.24
2018-11-12,0.96,1.11,1.3,0.75,1.36,1.23
2018-11-19,0.93,0.98,1.22,0.71,1.23,1.17
2018-11-26,0.99,1.02,1.38,0.75,1.36,1.26
2018-12-03,0.94,0.96,1.33,0.74,1.26,1.19
2018-12-10,0.95,0.95,1.3,0.77,1.27,1.2
2018-12-17,0.89,0.86,1.12,0.67,1.17,1.11
2018-12-24,0.94,0.89,1.2,0.71,1.22,1.14
2018-12-31,0.97,0.85,1.28,0.74,1.42,1.16
2019-01-07,0.96,0.87,1.33,0.77,1.61,1.17
2019-01-14,1.0,0.9,1.38,0.8,1.61,1.22
2019-01-21,0.99,0.9,1.36,0.8,1.61,1.22
2019-01-28,1.01,0.95,1.32,0.89,1.62,1.17
2019-02-04,0.99,0.97,1.29,0.9,1.66,1.2
2019-02-11,1.01,0.97,1.31,0.87,1.7,1.23
2019-02-18,1.01,0.99,1.33,0.87,1.73,1.26
2019-02-25,1.04,1.0,1.36,0.87,1.7,1.28
2019-03-04,1.04,0.99,1.32,0.91,1.66,1.25
2019-03-11,1.07,1.06,1.39,0.89,1.72,1.31
2019-03-18,1.09,1.09,1.44,0.88,1.72,1.33
2019-03-25,1.06,1.09,1.45,0.89,1.7,1.34
2019-04-01,1.1,1.13,1.49,0.94,1.74,1.36
2019-04-08,1.1,1.14,1.5,0.96,1.67,1.37
2019-04-15,1.12,1.16,1.51,0.95,1.72,1.4
2019-04-22,1.15,1.17,1.59,1.02,1.79,1.47
2019-04-29,1.08,1.21,1.6,1.05,1.83,1.46
2019-05-06,1.06,1.13,1.54,1.01,1.72,1.44
2019-05-13,1.05,1.08,1.52,0.99,1.69,1.45
2019-05-20,1.03,1.02,1.48,0.97,1.69,1.43
2019-05-27,1.0,1.0,1.44,0.95,1.63,1.4
2019-06-03,0.97,1.09,1.47,0.93,1.72,1.49
2019-06-10,0.98,1.1,1.52,0.97,1.62,1.5
2019-06-17,1.02,1.14,1.55,1.02,1.76,1.55
2019-06-24,0.98,1.13,1.54,1.03,1.75,1.52
2019-07-01,1.03,1.17,1.58,1.05,1.81,1.55
2019-07-08,1.04,1.16,1.64,1.1,1.78,1.58
2019-07-15,1.03,1.16,1.6,1.06,1.5,1.55
2019-07-22,1.13,1.19,1.58,1.07,1.6,1.6
2019-07-29,1.08,1.17,1.48,1.01,1.52,1.55
2019-08-05,1.08,1.15,1.47,1.01,1.47,1.56
2019-08-12,1.07,1.18,1.46,0.98,1.44,1.54
2019-08-19,1.04,1.16,1.42,0.95,1.39,1.51
2019-08-26,1.08,1.19,1.45,0.99,1.4,1.56
2019-09-02,1.09,1.22,1.49,1.0,1.38,1.58
2019-09-09,1.12,1.25,1.5,1.0,1.4,1.56
2019-09-16,1.12,1.24,1.46,1.02,1.29,1.58
2019-09-23,1.11,1.25,1.4,0.95,1.25,1.56
2019-09-30,1.1,1.3,1.42,0.97,1.3,1.57
2019-10-07,1.1,1.35,1.41,0.99,1.35,1.58
2019-10-14,1.13,1.35,1.43,0.99,1.31,1.56
2019-10-21,1.15,1.41,1.43,1.01,1.32,1.6
2019-10-28,1.16,1.46,1.46,1.04,1.37,1.63
2019-11-04,1.19,1.49,1.45,1.02,1.39,1.66
2019-11-11,1.21,1.52,1.42,1.04,1.4,1.7
2019-11-18,1.18,1.5,1.42,1.06,1.48,1.7
2019-11-25,1.18,1.53,1.47,1.08,1.5,1.72
2019-12-02,1.22,1.55,1.43,1.08,1.46,1.72
2019-12-09,1.22,1.57,1.43,1.04,1.42,1.75
2019-12-16,1.22,1.6,1.45,1.1,1.6,1.78
2019-12-23,1.23,1.66,1.52,1.11,1.57,1.8
2019-12-30,1.21,1.68,1.5,1.1,1.54,1.79
